id,tested_positive
0,32.469162
1,6.10871
2,25.05429
3,26.52344
4,40.503036
5,6.88323
6,8.09049
7,20.354122
8,10.364987
9,10.455479
10,15.793693
11,15.448725
12,26.82227
13,8.951796
14,16.029415
15,23.55168
16,39.825226
17,13.094112
18,32.056297
19,14.335236
20,24.42735
21,20.582552
22,9.583069
23,16.96969
24,16.026575
25,10.218613
26,17.440573
27,17.96255
28,5.6907864
29,31.826504
30,6.072
31,33.493908
32,31.57609
33,20.993172
34,12.635424
35,36.396084
36,15.380045
37,14.004965
38,31.861591
39,19.28395
40,6.814967
41,29.027372
42,18.968607
43,18.726341
44,12.021551
45,7.6653256
46,9.785848
47,14.349473
48,16.231907
49,5.0646834
50,15.514732
51,21.692692
52,12.129446
53,7.114092
54,36.13017
55,16.39576
56,18.89963
57,9.999511
58,18.83423
59,14.355227
60,11.868102
61,19.492203
62,19.671051
63,19.18247
64,32.130142
65,14.507401
66,27.521029
67,9.706527
68,33.36431
69,22.83404
70,9.178609
71,23.441732
72,11.117678
73,12.515751
74,24.088398
75,7.486483
76,6.7168155
77,12.8098755
78,3.918241
79,16.36341
80,21.366806
81,10.586744
82,40.669422
83,6.9147954
84,23.804285
85,16.810434
86,7.3413196
87,37.390133
88,14.937528
89,18.548199
90,19.225395
91,9.30567
92,45.270588
93,37.721573
94,11.67546
95,12.239214
96,34.985535
97,5.540759
98,4.972216
99,14.314955
100,12.92374
101,25.745373
102,17.235697
103,7.065437
104,26.600807
105,14.370742
106,25.065046
107,13.693922
108,6.566275
109,16.012703
110,16.414114
111,17.625586
112,20.462654
113,10.685917
114,28.936836
115,11.660314
116,7.938919
117,10.577513
118,7.7142425
119,12.608369
120,16.98787
121,7.85056
122,6.5295086
123,7.3147125
124,7.7297764
125,12.025666
126,7.2440505
127,6.458655
128,40.095943
129,9.768803
130,26.13437
131,13.1335945
132,23.41408
133,14.01009
134,24.289791
135,9.831336
136,26.643372
137,7.445071
138,10.09776
139,18.917274
140,12.659813
141,11.251331
142,12.384367
143,28.490656
144,17.823427
145,8.232511
146,8.987352
147,10.981768
148,8.094535
149,11.736567
150,16.23619
151,14.54973
152,22.885527
153,14.470273
154,31.527313
155,8.569205
156,10.245038
157,6.7558775
158,8.188025
159,16.297466
160,8.157062
161,25.848293
162,6.301043
163,12.123038
164,38.976894
165,10.144941
166,11.463088
167,21.488651
168,17.575777
169,6.494293
170,17.494762
171,20.91319
172,21.209806
173,15.704938
174,37.78186
175,21.332926
176,14.203009
177,12.483861
178,17.366405
179,20.844053
180,9.006957
181,9.127137
182,18.976023
183,10.64345
184,24.32471
185,5.490569
186,17.908504
187,21.729218
188,8.986258
189,35.79623
190,17.32317
191,10.403335
192,33.212936
193,20.796516
194,31.063093
195,7.893539
196,33.558647
197,15.272765
198,8.910441
199,8.846091
200,9.080602
201,7.0414762
202,39.660503
203,8.884848
204,18.64381
205,25.353403
206,11.77962
207,14.96723
208,7.8714814
209,9.567909
210,32.05829
211,8.807951
212,7.0940948
213,28.630627
214,14.318858
215,9.837929
216,14.821632
217,11.809799
218,18.536894
219,15.907449
220,28.293655
221,21.053862
222,20.38485
223,10.407115
224,7.9523425
225,31.287971
226,6.4628634
227,11.990387
228,31.709467
229,16.081896
230,9.985848
231,32.617138
232,17.871136
233,14.435365
234,12.664805
235,12.21413
236,9.115599
237,16.470308
238,8.810475
239,14.820087
240,11.39993
241,19.323828
242,15.870522
243,12.13285
244,40.631138
245,17.602962
246,10.760842
247,13.740417
248,9.181486
249,14.838892
250,29.13487
251,17.180521
252,19.356636
253,9.355626
254,13.186747
255,15.001006
256,17.030472
257,23.246502
258,11.381119
259,17.684988
260,8.124651
261,31.013262
262,27.680407
263,9.66921
264,4.558373
265,15.456252
266,42.76293
267,16.167662
268,18.615753
269,14.445214
270,11.670026
271,19.017256
272,16.264668
273,9.996628
274,7.8582377
275,7.800677
276,16.943989
277,13.409799
278,15.725569
279,17.45425
280,14.258823
281,10.380351
282,11.823083
283,28.145752
284,9.262317
285,9.623085
286,11.259159
287,6.06202
288,14.791972
289,11.372274
290,10.212156
291,32.45718
292,4.2146835
293,42.209328
294,7.1699405
295,20.423176
296,15.58883
297,9.41339
298,12.987985
299,15.294269
300,20.701025
301,13.852617
302,20.069674
303,17.258205
304,18.191277
305,16.11616
306,20.140696
307,14.224406
308,8.921987
309,12.994475
310,27.818834
311,33.340767
312,19.193104
313,9.225638
314,23.044445
315,14.239211
316,4.5851507
317,34.747845
318,16.634691
319,12.09421
320,25.266356
321,16.938278
322,5.204008
323,33.77704
324,30.420595
325,22.849651
326,31.874006
327,34.856075
328,28.534283
329,16.524382
330,7.115036
331,9.765197
332,4.932062
333,10.169571
334,33.31437
335,32.986393
336,5.8232436
337,28.729055
338,12.014368
339,27.203196
340,10.708256
341,28.41155
342,20.05521
343,26.690552
344,8.160149
345,9.351497
346,12.90065
347,19.546423
348,9.116252
349,18.974354
350,5.1392612
351,23.154444
352,9.139069
353,18.317085
354,10.689351
355,20.334671
356,6.9528165
357,30.934055
358,19.476337
359,10.749096
360,16.370825
361,7.096795
362,11.378683
363,7.1845727
364,15.335901
365,19.684658
366,45.21099
367,15.799251
368,9.162346
369,23.969267
370,36.478424
371,9.452377
372,18.585913
373,8.855461
374,9.171451
375,6.36447
376,16.9419
377,24.341946
378,13.921871
379,18.358784
380,23.305689
381,22.125368
382,32.46645
383,11.271985
384,9.497775
385,36.49351
386,6.773982
387,14.181098
388,25.790277
389,26.289902
390,18.377369
391,18.340445
392,17.397562
393,11.170137
394,31.582531
395,36.119434
396,7.9764876
397,16.610777
398,15.298367
399,6.2492623
400,31.775785
401,21.23327
402,13.096716
403,18.880482
404,5.5241547
405,29.67349
406,9.622657
407,32.121895
408,7.0393186
409,13.55293
410,19.574167
411,15.272926
412,21.059252
413,11.604997
414,37.323532
415,6.6105275
416,9.602331
417,31.329725
418,19.689112
419,11.930112
420,6.0332437
421,10.199856
422,4.8463154
423,12.061768
424,8.714091
425,37.894806
426,26.321024
427,9.870392
428,34.541626
429,32.98549
430,7.0736594
431,9.157044
432,11.057354
433,16.602701
434,17.028631
435,36.885193
436,12.692942
437,16.603003
438,9.284549
439,18.424433
440,7.5459533
441,7.0000443
442,19.295853
443,25.57458
444,8.379204
445,18.650354
446,11.35092
447,36.8117
448,43.499104
449,19.955093
450,20.52038
451,8.324581
452,31.549135
453,19.539309
454,17.02327
455,23.29011
456,10.309599
457,48.906086
458,35.59167
459,12.818041
460,21.539003
461,8.356582
462,20.478586
463,33.034554
464,35.41066
465,16.872732
466,34.78632
467,11.22112
468,12.84054
469,28.02232
470,42.715122
471,16.462902
472,35.891407
473,16.241367
474,8.804216
475,17.079826
476,16.600811
477,8.745822
478,15.614615
479,14.622515
480,9.25533
481,15.378386
482,8.4758835
483,21.739449
484,17.158543
485,7.6985397
486,12.362928
487,24.524002
488,12.081597
489,7.5988665
490,9.887595
491,35.918964
492,22.11419
493,12.967319
494,18.104685
495,16.03215
496,10.190289
497,6.0125356
498,10.728643
499,28.821428
